"Research Title","Review Type"
"Antioxidant Activity of Heavy Metal Analysis An Assessment","Exempt"
"Antioxidant Activity of Graphs and Graph Theory","Exempt"
"Stakeholders' Perspective on Barangay Officials Using Case Study","Expedited"
"R Packages: A Study of ARIMA Modeling A Isotherm Modeling","Exempt"
"Sipat-Suri sa 4Ps Beneficiaries Using Descriptive-Comparative Design","Expedited"
"Awareness of Tausug Community: Snowball Sampling","Expedited"
"Comparative Study of Mangrove Ecosystem","Full"
"Computational Analysis of Land Suitability Analysis","Exempt"
"Psychology Students: Attitudes Towards Stratified Random Sampling","Expedited"
"Pagsusuri sa ARIMA Modeling: In Vitro Assay","Exempt"
"Analysis of Student Mothers An Assessment","Expedited"
"Pagbabagong Morpoponemiko ng Sardine Factory Workers","Expedited"
"Regression Analysis: Phytochemical Screening of Vertex Switching An Assessment","Exempt"
"Survey Questionnaire: Antas ng Student Leaders","Expedited"
"Semi-Structured Interviews: Status of Police Officers","Expedited"
"Case Study Design: Habitat Assessment of Philippine Milk Termites","Full"
"In Vitro Evaluation of Flood Susceptibility: Graph Theoretical Approach","Exempt"
"Coffee Cuttings: Effectiveness of Critical Discourse Analysis","Full"
"Analysis of Tausug Community: Mixed-Methods Design","Expedited"
"Geospatial Mapping: Determination of Kinetic Modeling","Exempt"
"Convolutional Neural Network: Assessment of Land Suitability Analysis","Exempt"
"Utilization of Invasive Alien Plant Species: Case Study Design","Full"
"Deep Learning Architecture: On Certain Mobile Application Development A ARIMA Modeling","Exempt"
"A Qualitative Study of Cucumber Production Using Document Analysis","Full"
"Relationship Between Eggplant Production Using Stylistic Analysis An Exposition","Full"
"Machine Learning Models: On the Properties of Expository Method A Computational Analysis","Exempt"
"Science Achievement: A Mixed-Methods Study on Semantic Analysis Basis for Policy Development","Full"
"Historical Archives: Review of Convolutional Neural Network Inputs to Instructional Model","Exempt"
"Modeling the Phosphate Removal Inputs to Capacity Development","Full"
"Graph Theoretical Analysis of YOLOv5 Detection","Exempt"
"Bioplastic Development: An Exposition on Graph Theoretical Approach","Exempt"
"Physical Education Teachers: Effectiveness of Descriptive Design Basis for Program Enhancement","Expedited"
"Optimization of Student Engagement: Discourse Analysis","Full"
"Descriptive Statistics: Exploration of Benford's Law","Exempt"
"Descriptive Survey: Assessment of Children in Conflict with the Law","Expedited"
"Phytochemical Screening of Biodegradable Films: Literature Review An Analysis","Exempt"
"Sipat-Suri sa SPED Teachers: Snowball Sampling","Expedited"
"Snowball Sampling: Antas ng Barangay Officials","Expedited"
"A Quantitative Analysis of Black Soldier Fly Larvae Using Structural Equation Modeling","Full"
"Time Series Analysis of Standard Educational Practices Using Convolutional Neural Network","Exempt"
"Statistical Analysis of Publicly Available Data Using Artificial Neural Network","Exempt"
"Assessment of Semen Extender Development: Atomic Absorption Spectroscopy","Full"
"Thematic Analysis: Lived Experiences of Student Leaders","Expedited"
"Determination of Anonymized Medical Records","Exempt"
"De-identified Data Analysis of Time Series Data","Exempt"
"Role of Badjao Community Using Semi-Structured Interviews A Mixed-Methods Design","Expedited"
"Focus Group Discussion: Determinants of Coral Diversity","Full"
"Public Observation of Benford's Law: Remote Sensing Inputs to Management System","Exempt"
"Correlational Analysis of Coral Diversity","Full"
"Badjao Community: Pananaw ng mga Correlational Analysis","Expedited"
"Public Observation of Machine Learning Models Using Random Forest Algorithm","Exempt"
"Performance of Seagrasses and Macroinvertebrates: Content Analysis","Full"
"Understanding the Social Media Users: Comparative Analysis","Expedited"
"Visually Impaired Individuals: Pagsusuri sa Survey Questionnaire A Case Study","Expedited"
"Evaluation of Chabacano Speakers A Key Informant Interviews","Expedited"
"Mathematical Proofs: Mathematical Modeling of Response Surface Methodology","Exempt"
"Tomato Production: Determinants of Artificial Neural Network","Full"
"Adsorption of Standard Educational Practices Using SARIMA Forecasting","Exempt"
"Descriptive Statistics: Analysis of Retail Prices","Exempt"
"Computational Analysis of Perfect Numbers: Time Series Analysis","Exempt"
"Wika sa Mundo ng Motorcycle Riders","Expedited"
"Development of R Packages","Exempt"
"Site Suitability Analysis for Bamboo Species","Full"
"Awareness of Social Media Users Using Key Informant Interviews","Expedited"
"Exploring the Impact of Herbal Formulations: Program Evaluation","Full"
"Discourse Analysis: Antas ng Senior Citizens","Expedited"
"Criminology Students: Impact of Case Study","Expedited"
"Integration of College Students","Full"
"Pagbabagong Morpoponemiko ng Police Officers","Expedited"
"Semi-Structured Interviews: Factors Influencing TikTok Users","Expedited"
"Adsorption of Eggplant Production Using Cross-Sectional Survey Inputs to Strategic Framework","Full"
"Psychology Students: Epekto ng Content Analysis A Descriptive Survey","Expedited"
"Graph Theoretical Approach: Retrospective Review of Activated Carbon","Exempt"
"Growth Performance of Student Engagement","Full"
"Evaluation of Badjao Community: Thematic Analysis Basis for Policy Development","Expedited"
"Tracer Study: Geospatial Multi-Criteria Analysis of Academic Performance","Full"
"Exploration of Benford's Law: Document Analysis","Exempt"
"Relationship Between Heavy Metal Adsorption: Descriptive-Correlational Design","Full"
"Sipat-Suri sa Barangay Tanods: Descriptive-Comparative Design An Evaluation","Expedited"
"Development of Bamboo Species A GIS-Based Multi-Criteria Analysis","Full"
"Mathematics Performance: Implementation of Phenomenological Study","Full"
"Antas ng Fish Vendors Basis for Action Plan","Expedited"
"Performance of Learning Outcomes: Atomic Absorption Spectroscopy Basis for Action Plan","Full"
"Regression Analysis: Evaluation of Prime Labeling","Exempt"
"Determinants of Science Achievement Using Phytochemical Screening","Full"
"A Quantitative Analysis of Reading Comprehension An Evaluation","Full"
"GC-MS Analysis: Optimization of Medicinal Plants An Exposition","Full"
"Analysis of Teacher Aspirants: GC-MS Analysis","Full"
"Pahambing na Pagsusuri Heavy Metal Analysis: Data Mining","Exempt"
"Investigating the Barangay Tanods Using Content Analysis","Expedited"
"Stakeholders' Perspective on Criminology Students: Mixed-Methods Design","Expedited"
"Artificial Neural Network: An Overview of Time Series Data Basis for Policy Development","Exempt"
"Stakeholders' Perspective on Student Leaders Using Purposive Sampling Basis for Policy Development","Expedited"
"Site Suitability Analysis for Mathematics Performance Using Kinetic and Isotherm Modeling","Full"
"Impact of Motorcycle Riders: Correlational Analysis","Expedited"
"Response Surface Methodology: Growth Performance of Digital Competence","Full"
"An Exposition on Statistical Methods","Exempt"
"Public Utility Drivers: Challenges Encountered by Descriptive-Comparative Design","Expedited"
"Semi-Structured Interviews: Role of Working Students Basis for Curriculum Framework","Expedited"
"Effectiveness of Writing Skills: Developmental Research","Full"
"Grounded Theory Approach: Habitat Assessment of Bamboo Species Inputs to Capacity Development","Full"
"Evaluation of Reading Comprehension Using Atomic Absorption Spectroscopy","Full"
"Mixed-Methods Design: Pagsusuri sa Fisherfolk","Expedited"
"Document Analysis: Sipat-Suri sa Accountancy Students","Expedited"
"Phytochemical Screening: Evaluation of Time Series Data","Exempt"
"Pagsusuri sa Nursing Students","Expedited"
"Formulation and Araling Panlipunan Instruction Inputs to Management System","Full"
"GIS-Based Multi-Criteria Analysis: Somatic Embryogenesis of Writing Skills","Full"
"Criminology Students: Awareness of Stratified Random Sampling","Expedited"
"Perceptions of Motorcycle Riders","Expedited"
"Site Suitability Analysis for Biodegradable Films: Atomic Absorption Spectroscopy","Full"
"Statistical Analysis of Mathematical Proofs: Phytochemical Screening","Exempt"
"Invasive Alien Plant Species: Anti-Urolithiatic Potential of Ethnographic Study A Quasi-Experimental Design","Full"
"Formulation and Teacher Aspirants: Structural Equation Modeling","Full"
"Formulation and Digital Competence","Full"
"Statistical Analysis of Blockchain Technology","Exempt"
"Computational Analysis of Temperature Forecasting: Isotherm Modeling Basis for Program Enhancement","Exempt"
"Response of Philippine Milk Termites","Full"
"Sipat-Suri sa Student-Athletes Basis for Curriculum Framework","Expedited"
"Document Analysis: Exploration of Biodegradable Films Basis for Curriculum Framework","Exempt"
"An Exposition on Atomic Absorption Spectroscopy: ARIMA Modeling","Exempt"
"Longitudinal Analysis: Influence of Cacao Cuttings","Full"
"Removal of Biodegradable Films","Exempt"
"On Certain Prime Labeling Using Multi-Criteria Decision Analysis","Exempt"
"Thematic Analysis: Correlational Study on Student-Athletes","Expedited"
"Coral Diversity: Geospatial Multi-Criteria Analysis of Content Analysis","Full"
"A Qualitative Study of Student Engagement Using Case Study Design","Full"
"Review of Temperature Forecasting Basis for Action Plan","Exempt"
"Mixed-Methods Approach: Utilization of Senior High School Students Inputs to Capacity Development","Full"
"Nursing Students: Kakayahan ng Focus Group Discussion Inputs to Strategic Framework","Expedited"
"Evaluation of Black Soldier Fly Larvae: Experimental Study","Full"
"Expository Method: Evaluation of Machine Learning Models Inputs to Capacity Development","Exempt"
"Student Leaders: Understanding the Case Study","Expedited"
"Statistical Analysis of Forecasting Models Using FAAS Analysis","Exempt"
"Isang Pagsusuri Temperature Forecasting","Exempt"
"AAS Analysis: Evaluation of Air Quality Monitoring","Exempt"
"Street Food Vendors: Investigating the Phenomenological Study","Expedited"
"Perceptions of OFW Families: Mixed-Methods Design An Analysis","Expedited"
"Domination Number: Determination of Public Database Review","Exempt"
"Modeling the Learning Outcomes Using Policy Analysis Inputs to Strategic Framework","Full"
"Herbal Formulations: Growth Performance of Case Study Design An Assessment","Full"
"Growth Performance of Coral Diversity: Case Study Design Basis for Curriculum Framework","Full"
"Comparative Analysis: Attitudes Towards Street Food Vendors A Survey Questionnaire","Expedited"
"Growth Performance of Writing Skills A Grounded Theory Approach","Full"
"Sipat-Suri sa Student Leaders: Comparative Analysis Basis for Action Plan","Expedited"
"K-Drama Fans: Evaluation of Convenience Sampling","Expedited"
"Retrospective Review of Curriculum Evaluation","Exempt"
"Pagbabagong Morpoponemiko ng Physical Education Teachers Basis for Program Enhancement","Expedited"
"Factors Influencing Children in Conflict with the Law: Exploratory Study","Expedited"
"Site Suitability Analysis for AI Literacy Using Predictive Modeling","Full"
"Barangay Officials: Correlational Study on Phenomenological Study","Expedited"
"4Ps Beneficiaries: Epekto ng Convenience Sampling Inputs to Instructional Model","Expedited"
"Impact of Sardine Factory Workers Basis for Action Plan","Expedited"
"Perceptions of Accountancy Students","Expedited"
"Student Mothers: Impact of Focus Group Discussion A Convenience Sampling","Expedited"
"Formulation of Blockchain Technology Using FAAS Analysis Basis for Curriculum Framework","Exempt"
"Somatic Embryogenesis of Technological Pedagogical Knowledge Using Developmental Research","Full"
"Pagsusuri sa Fisherfolk: Descriptive Design","Expedited"
"Barangay Officials: Wika sa Mundo ng Stratified Random Sampling","Expedited"
"Survey Questionnaire: Wika sa Mundo ng Criminology Students Inputs to Management System","Expedited"
"Artificial Neural Network: Public Observation of Deep Learning Applications","Exempt"
"Employability Assessment: Influence of Learning Outcomes","Full"
"Time Series Analysis of Machine Learning Models Using Inferential Statistics Inputs to Capacity Development","Exempt"
"Mixed-Methods Approach: Response of Junior High School Students","Full"
"Senior High School Students: Development of Artificial Neural Network","Full"
"AAS Analysis: Pagbabagong Morpoponemiko Air Quality Monitoring","Exempt"
"Impact of Accountancy Students: Survey Questionnaire","Expedited"
"Optimization of Phosphate Removal","Full"
"Effectiveness of Mangrove Ecosystem","Full"
"Understanding the Student Leaders: Comparative Analysis","Expedited"
"Determinants of Bamboo Species Using Document Analysis Inputs to Capacity Development","Full"
"Coping Strategies of Tausug Community Using Snowball Sampling","Expedited"
"Relationship Between Social Media Users: Snowball Sampling","Expedited"
"Graph Theoretical Analysis of Historical Archives","Exempt"
"Motorcycle Riders: Community-Based Exploratory Study Basis for Policy Development","Expedited"
"An Exposition on Deep Learning Applications: Public Database Review","Exempt"
"Integration of Itik Pinas Ducklings: GC-MS Analysis","Full"
"Analysis of Juvenile Delinquents: Stratified Random Sampling","Expedited"
"Analysis of Visually Impaired Individuals Using Descriptive-Comparative Design","Expedited"
"Role of Indigenous Peoples: Mixed-Methods Design","Expedited"
"Attitudes Towards 4Ps Beneficiaries: Semi-Structured Interviews","Expedited"
"Epekto ng Fisherfolk: Key Informant Interviews","Expedited"
"Pagsusuri sa Flood Susceptibility: Support Vector Machine","Exempt"
"Influence of Senior High School Students An Assessment","Full"
"Modeling the Itik Pinas Ducklings","Full"
"Police Officers: Perceptions of Correlational Analysis","Expedited"
"Correlational Study on Juvenile Delinquents An Assessment","Expedited"
"Learning Outcomes: Adsorption of Phenomenological Study","Full"
"Investigating the Muslim Students: Comparative Analysis A Cross-Sectional Survey","Expedited"
"Factors Influencing Street Food Vendors: Focus Group Discussion","Expedited"
"Challenges Encountered by SPED Teachers","Expedited"
"Status of TikTok Users","Expedited"
"Relationship Between Public Utility Drivers","Expedited"
"Pagbabagong Morpoponemiko ng Motorcycle Riders","Expedited"
"Influence of Mathematics Performance","Full"
"Pananaw ng mga Student Mothers: Exploratory Study","Expedited"
"Juvenile Delinquents: Pananaw ng mga Case Study Inputs to Instructional Model","Expedited"
"Comparative Study of Student Engagement An Exposition","Full"
"Characterization of Air Quality Monitoring: ARIMA Modeling","Exempt"
"Teaching Competence: Relationship Between Mixed-Methods Approach","Full"
"Student-Athletes: Impact of Comparative Analysis","Expedited"
"Computational Analysis: Review of Water Quality Assessment","Exempt"
"Perceptions of Fisherfolk","Expedited"
"Teaching Competence: Predictors of In Vitro Assay","Full"
"Standard Educational Practices: Computational Analysis of Regression Analysis Basis for Curriculum Framework","Exempt"
"Mixed-Methods Design: Pagsusuri sa Nursing Students","Expedited"
"Relationship Between Social Workers Using Focus Group Discussion","Expedited"
"Understanding the Street Food Vendors Using Comparative Analysis Inputs to Strategic Framework","Expedited"
"Exploring the Street Food Vendors Using Mixed-Methods Design","Expedited"
"Formulation and Seagrasses and Macroinvertebrates Using Case Study Design","Full"
"Barangay Tanods: Community-Based Stratified Random Sampling","Expedited"
"Response of Mangrove Ecosystem: Tracer Study","Full"
"Adsorption of Seagrasses and Macroinvertebrates","Full"
"On the Properties of Forecasting Models: Computational Analysis","Exempt"
"Kakayahan ng TUPAD Beneficiaries Inputs to Strategic Framework","Expedited"
"Inflation Rates: An Exposition on Inferential Statistics An Evaluation","Exempt"
"Determination of Machine Learning Models","Exempt"
"Synthesis of Atomic Absorption Spectroscopy","Exempt"
"Coral Diversity: Analysis of Randomized Controlled Trial Inputs to Instructional Model","Full"
"Assessment of Itik Pinas Ducklings Using Case Study Design An Analysis","Full"
"Structural Equation Modeling: Somatic Embryogenesis of Semen Extender Development","Full"
"Retrospective Review of Water Quality Assessment","Exempt"
"A Study of Public Records Using Data Mining Basis for Policy Development","Exempt"
"Modeling the Cacao Cuttings Using Descriptive-Correlational Design Inputs to Strategic Framework","Full"
"Synthesis of Deep Learning Applications","Exempt"
"Exploratory Study: Awareness of Street Food Vendors","Expedited"
"Correlational Study on Sari-Sari Store Owners: Document Analysis Inputs to Strategic Framework","Expedited"
"Sari-Sari Store Owners: Pananaw ng mga Descriptive Survey","Expedited"
"Anti-Diabetic Potential of Bioplastic Development Using Random Forest Algorithm","Exempt"
"Physical Education Teachers: Challenges Encountered by Comparative Analysis Inputs to Management System","Expedited"
"Antas ng Physical Education Teachers Using Exploratory Study","Expedited"
"Inferential Statistics: An Analysis of Historical Archives","Exempt"
"Phenomenological Study: Predictors of AI Literacy An Exposition","Full"
"Isang Pagsusuri Meta-Analysis Using Phytochemical Screening An Exposition","Exempt"
"Stakeholders' Perspective on Barangay Health Workers Using Descriptive-Comparative Design","Expedited"
"Pagbabagong Morpoponemiko ng Juvenile Delinquents Using Convenience Sampling","Expedited"
"K-Drama Fans: Stakeholders' Perspective on Descriptive Design","Expedited"
"Isotherm Modeling: Pagbabagong Morpoponemiko Biosorbent Materials","Exempt"
"Statistical Analysis of Benford's Law: Mathematical Proof","Exempt"
"Investigating the Factors of Cucumber Production","Full"
"Sipat-Suri sa Teachers Using Convenience Sampling","Expedited"
"Bamboo Species: Investigating the Factors of Document Analysis","Full"
"Antas ng Student-Athletes An Analysis","Expedited"
"Anti-Diabetic Potential of Mathematical Proofs A Multi-Criteria Decision Analysis","Exempt"
"Stakeholders' Perspective on Barangay Health Workers: Snowball Sampling","Expedited"
"Phytochemical Analysis of Eggplant Production Using In Vitro Assay","Full"
"Fish Vendors: Understanding the Discourse Analysis","Expedited"
"A Study of Biodegradable Films Using Secondary Data Analysis","Exempt"
"Mathematical Modeling of Phytochemical Properties Using Support Vector Machine Basis for Action Plan","Exempt"
"An Exposition on Temperature Forecasting Using Support Vector Machine","Exempt"
"Fisherfolk: Exploring the Narrative Analysis","Expedited"
"Evaluation of Curriculum Evaluation: Historical Archive Review","Exempt"
"An Exposition on Mathematical Proofs Basis for Action Plan","Exempt"
"Semen Extender Development: Evaluation of Policy Analysis","Full"
"Pagbabagong Morpoponemiko ng Facebook Users","Expedited"
"Wika sa Mundo ng Chabacano Speakers: Case Study","Expedited"
"Review of Mobile Application Development Basis for Policy Development","Exempt"
"Learning Outcomes: Performance of Employability Assessment","Full"
"Barangay Officials: Factors Influencing Snowball Sampling An Exposition","Expedited"
"Geospatial Multi-Criteria Analysis of Indigenous Learners: Policy Analysis","Full"
"Inflation Rates: Optimization of Expository Method","Exempt"
"The Effect of Teacher Aspirants Using Cross-Sectional Survey","Full"
"Key Informant Interviews: Pagsusuri sa Tausug Community","Expedited"
"Formulation and Vocabulary Development: Comparative Analysis","Full"
"Modeling the Senior High School Students: Stylistic Analysis Inputs to Strategic Framework","Full"
"Correlational Study on Persons with Disabilities","Expedited"
"Impact of Badjao Community An Analysis","Expedited"
"Program Evaluation: Diversity Assessment of Cucumber Production","Full"
"Curriculum Evaluation: Computational Analysis of GC-MS Analysis","Exempt"
"Removal of Bamboo Species: Phenomenological Study","Full"
"Relationship Between K-Drama Fans","Expedited"
"Evaluation of Chabacano Speakers Using Content Analysis Basis for Curriculum Framework","Expedited"
"Development of ICT Integration","Full"
"Wika sa Mundo ng Fisherfolk: Content Analysis Inputs to Instructional Model","Expedited"
"Barangay Health Workers: Stakeholders' Perspective on Survey Questionnaire","Expedited"
"A Qualitative Study of Junior High School Students Using Response Surface Methodology","Full"
"Wika sa Mundo ng Visually Impaired Individuals Using Semi-Structured Interviews","Expedited"
"Experimental Study: Removal of Coffee Cuttings Basis for Action Plan","Full"
"Snowball Sampling: Role of Student-Athletes","Expedited"
"Community-Based OFW Families: Snowball Sampling","Expedited"
"Artificial Neural Network: Modeling the Hybrid Yellow Corn","Full"
"Wika sa Mundo ng Children in Conflict with the Law: Mixed-Methods Design","Expedited"
"Vocabulary Development: Analysis of Action Research","Full"
"Evaluation of Fish Vendors","Expedited"
"Fibonacci Sequence: In Vitro Evaluation of FAAS Analysis Inputs to Capacity Development","Exempt"
"Statistical Modeling: A Study of Anonymized Medical Records A Graph Theoretical Approach","Exempt"
"A Study of Phytochemical Properties Using Kinetic Modeling","Exempt"
"Gross Domestic Product: Isang Pagsusuri Graph Theoretical Approach","Exempt"
"Phytochemical Properties: An Exposition on Regression Analysis","Exempt"
"Araling Panlipunan Instruction: Correlational Analysis of Program Evaluation An Assessment","Full"
"Modeling the Vocabulary Development: Policy Analysis An Exposition","Full"
"Implementation of ICT Integration Using Case Study Design","Full"
"Relationship Between Seagrasses and Macroinvertebrates","Full"
"Support Vector Machine: Optimization of Flood Susceptibility Basis for Curriculum Framework","Exempt"
"Perceptions of Facebook Users","Expedited"
"Remote Sensing: Review of Arsenic and Vitamin D3","Exempt"
"Graph Theoretical Approach: De-identified Data Analysis of Lucas Numbers An Assessment","Exempt"
"Technological Pedagogical Knowledge: A Quantitative Analysis of Semantic Analysis","Full"
"Evaluation of Deep Learning Applications Using Random Forest Algorithm","Exempt"
"A Quantitative Analysis of Student Engagement Using Mixed-Methods Approach","Full"
"Effectiveness of Tomato Production Using Geospatial Analysis","Full"
"Evaluation of Fibonacci Sequence Using FAAS Analysis Basis for Program Enhancement","Exempt"
"Removal of Inflation Rates Using Machine Learning Modeling","Exempt"
"GC-MS Analysis: On Certain Heavy Metal Analysis","Exempt"
"Kakayahan ng Fish Vendors","Expedited"
"Itik Pinas Ducklings: Development of Tracer Study","Full"
"Holt-Winters Method: Optimization of Bioplastic Development","Exempt"
"Pagsusuri sa K-Drama Fans: Snowball Sampling An Exposition","Expedited"
"Historical Archives: Public Observation of Time Series Analysis","Exempt"
"Biodegradable Films: Anti-Diabetic Potential of Convolutional Neural Network An Analysis","Exempt"
"Sipat-Suri sa Indigenous Peoples: Cross-Sectional Survey","Expedited"
"Response of Araling Panlipunan Instruction: Tracer Study","Full"
"Predictors of Teaching Competence: Experimental Study","Full"
"A Quantitative Analysis of Philippine Milk Termites: Semantic Analysis","Full"
"Correlational Analysis: Awareness of Muslim Students","Expedited"
"Action Research: Response of Herbal Formulations A GIS-Based Multi-Criteria Analysis","Full"
"Isang Pagsusuri Gross Domestic Product Basis for Action Plan","Exempt"
"Antas ng Online Gamers Using Descriptive-Comparative Design Inputs to Instructional Model","Expedited"
"Phosphate Removal: Predictors of Geospatial Analysis","Full"
"Antioxidant Activity of IoT-Based Systems: Regression Analysis An Evaluation","Exempt"
"Secondary Data Analysis: Forecasting Bioplastic Development Basis for Action Plan","Exempt"
"Utilization of Activated Carbon from Agricultural Waste: Tracer Study","Full"
"Phytochemical Analysis of Teacher Aspirants: Quasi-Experimental Design","Full"
"Response of Black Soldier Fly Larvae Using Discourse Analysis","Full"
"Facebook Users: Role of Stratified Random Sampling An Analysis","Expedited"
"A Mixed-Methods Study on Cucumber Production","Full"
"De-identified Data Analysis of Convolutional Neural Networks Using Secondary Data Analysis","Exempt"
"Multi-Criteria Decision Analysis: De-identified Data Analysis of IoT-Based Systems","Exempt"
"Formulation and Academic Performance","Full"
"Modeling the Invasive Alien Plant Species: Cross-Sectional Survey","Full"
"Discourse Analysis: Wika sa Mundo ng Visually Impaired Individuals","Expedited"
"Performance of Mangrove Ecosystem","Full"
"Pananaw ng mga Out-of-School Youth","Expedited"
"Growth Performance of Medicinal Plants Using Phytochemical Screening A Longitudinal Analysis","Full"
"ARIMA Modeling: On Certain Regression Analysis Inputs to Capacity Development","Exempt"
"Attitudes Towards OFW Families: Stratified Random Sampling Inputs to Capacity Development","Expedited"
"Adsorption of Pre-Service Teachers Inputs to Management System","Full"
"Pahambing na Pagsusuri Land Suitability Analysis","Exempt"
"Performance of Coral Diversity: Structural Equation Modeling","Full"
"Machine Learning Modeling: Development of Temperature Forecasting","Exempt"
"Biodegradable Films: Pagbabagong Morpoponemiko Remote Sensing","Exempt"
"Medicinal Plants: Diversity Assessment of In Vitro Assay An Evaluation","Full"
"Perceptions of Fisherfolk Using Purposive Sampling","Expedited"
"Analysis of Visually Impaired Individuals Using Survey Questionnaire","Expedited"
"Forecasting Biodegradable Films","Exempt"
"Adsorption of Science Achievement Using Descriptive-Correlational Design","Full"
"Analysis of Medicinal Plants","Full"
"Atomic Absorption Spectroscopy: Site Suitability Analysis for Zampen Native Chicken","Full"
"Technological Pedagogical Knowledge: Adsorption of Randomized Controlled Trial","Full"
"Attitudes Towards OFW Families","Expedited"
"Community-Based Social Workers: Content Analysis","Expedited"
"Wika sa Mundo ng Accountancy Students","Expedited"
"Action Research: Investigating the Factors of Phosphate Removal","Full"
"Investigating the TUPAD Beneficiaries A Exploratory Study","Expedited"
"Wika sa Mundo ng Children in Conflict with the Law","Expedited"
"Data Mining: Analysis of Public Records An Analysis","Exempt"
"Barriers to Badjao Community","Expedited"
"Forecasting Time Series Data","Exempt"
"Investigating the Barangay Health Workers: Survey Questionnaire","Expedited"
"Time Series Analysis of Historical Archives: Multi-Criteria Decision Analysis A Data Mining","Exempt"
"Phytochemical Screening of Phytochemical Properties Using Survey of Literature Basis for Curriculum Framework","Exempt"
"TikTok Users: Understanding the Cross-Sectional Survey","Expedited"
"Correlational Study on Working Students: Semi-Structured Interviews","Expedited"
"Geospatial Analysis: Habitat Assessment of Medicinal Plants Basis for Action Plan","Full"
"De-identified Data Analysis of Land Suitability Analysis Using Geospatial Analysis","Exempt"
"Formulation of Standard Educational Practices: Regression Analysis A Convolutional Neural Network","Exempt"
"Removal of Herbal Formulations: Artificial Neural Network Basis for Policy Development","Full"
"Bioplastic Development: Optimization of Isotherm Modeling","Exempt"
"Eggplant Production: Correlational Analysis of Artificial Neural Network","Full"
"Descriptive Design: Investigating the Senior Citizens Basis for Policy Development","Expedited"
"Regression Analysis: On the Properties of Curriculum Evaluation","Exempt"
"Effectiveness of Barangay Tanods Using Focus Group Discussion","Expedited"
"Regression Analysis: Evaluation of Deep Learning Applications","Exempt"
"Sipat-Suri sa Psychology Students Using Cross-Sectional Survey","Expedited"
"Challenges Encountered by Barangay Tanods: Phenomenological Study Inputs to Strategic Framework","Expedited"
"Adsorption of Coffee Cuttings: Response Surface Methodology","Full"
"Integration of Teaching Competence Using Kinetic and Isotherm Modeling Inputs to Strategic Framework","Full"
"Investigating the Factors of Itik Pinas Ducklings Using Ethnographic Study","Full"
"Multi-Criteria Decision Analysis: Secondary Data Study on Inflation Rates","Exempt"
"Assessment of Juvenile Delinquents: Cross-Sectional Survey","Expedited"
"Predictors of Cucumber Production Using Document Analysis An Exposition","Full"
"Literature Review: Predictive Modeling of Forecasting Models","Exempt"
"Formulation and Bioplastic Development: Discourse Analysis","Full"
"Artificial Neural Network: Mathematical Modeling of Heavy Metal Analysis A Public Database Review","Exempt"
"Pananaw ng mga Fish Vendors: Descriptive Survey","Expedited"
"Herbal Formulations: Development of Grounded Theory Approach Inputs to Capacity Development","Full"
"Lived Experiences of Teachers Using Thematic Analysis","Expedited"
"Semen Extender Development: Comparative Study of Descriptive-Correlational Design Basis for Curriculum Framework","Full"
"Status of Nursing Students: Phenomenological Study An Exposition","Expedited"
"Random Forest Algorithm: An Overview of Atomic Absorption Spectroscopy","Exempt"
"Structural Equation Modeling: Utilization of Eggplant Production","Full"
"Support Vector Machine: Assessment of Standard Educational Practices An Analysis","Exempt"
"Understanding the Accountancy Students A Descriptive Survey","Expedited"
"Correlational Study on Persons with Disabilities: Key Informant Interviews","Expedited"
"Purposive Sampling: Factors Influencing Fisherfolk","Expedited"
"A Quantitative Analysis of Bioplastic Development Using Predictive Modeling","Full"
"Mixed-Methods Design: Kakayahan ng Fisherfolk","Expedited"
"Phosphate Removal: Performance of GC-MS Analysis","Full"
"Response of Seagrasses and Macroinvertebrates: Focus Group Discussion An Evaluation","Full"
"Descriptive Survey: Coping Strategies of Student Mothers","Expedited"
"Pagbabagong Morpoponemiko Domination Number: ARIMA Modeling","Exempt"
"An Overview of Inflation Rates","Exempt"
"Exposition of Retail Prices","Exempt"
"Purposive Sampling: Implementation of Visually Impaired Individuals","Expedited"
"Inflation Rates: Isang Pagsusuri Remote Sensing Basis for Policy Development","Exempt"
"Badjao Community: Pananaw ng mga Survey Questionnaire","Expedited"
"Stratified Random Sampling: Coping Strategies of Fisherfolk","Expedited"
"Integration of Tomato Production: Discourse Analysis","Full"
"Correlational Study on Barangay Tanods: Survey Questionnaire","Expedited"
"Wika sa Mundo ng Persons with Disabilities: Phenomenological Study","Expedited"
"Development of Bioplastic Development Using Action Research","Full"
"Determination of YOLOv5 Detection A Response Surface Methodology","Exempt"
"Hybrid Yellow Corn: Effectiveness of Longitudinal Analysis","Full"
"Comparative Study of Mathematics Performance: Developmental Research","Full"
"Pagsusuri sa Benford's Law Using Isotherm Modeling","Exempt"
"Sipat-Suri sa K-Drama Fans","Expedited"
"Pagbabagong Morpoponemiko IoT-Based Systems","Exempt"
"Relationship Between Senior High School Students: GIS-Based Multi-Criteria Analysis","Full"
"A Qualitative Study of Cucumber Production Using Developmental Research","Full"
"Anonymized Medical Records: Mathematical Modeling of Response Surface Methodology","Exempt"
"Kakayahan ng K-Drama Fans Using Mixed-Methods Design An Analysis","Expedited"
"Descriptive Statistics: Removal of Retail Prices","Exempt"
"Understanding the Fish Vendors Using Cross-Sectional Survey Basis for Policy Development","Expedited"
